id,city,area,street,community,coordinate,house_type,house_type_parameter,room,room_parameter,acreage,rental,traffic,traffic_convenience,start_time,end_time
1,上海,杨浦,1,同济新村,"1,1",合租,1,2居室·南卧,2,15,3200,距地铁10号线200米,4,1,12
2,上海,杨浦,1,同济新村,"1,1",合租,1,2居室·北卧,2,15,3000,距地铁10号线200米,4,1,12
3,上海,杨浦,1,抚顺路363弄,"1,2",整租,0,2室1厅,2,48,5300,距地铁10号线500米,3,1,12
4,上海,杨浦,1,鞍山八村,"1,3",整租,0,1室1厅,1,40,4500,距地铁10号线500米,3,1,12
5,上海,杨浦,1,鞍山六村,"1,4",整租,0,1室0厅,1,34,4000,距地铁8号线600米,3,3,12
6,上海,杨浦,2,凤城六村,"2,1",合租,1,2居室·南卧,2,9,2630,距地铁8号线600米,3,3,12
7,上海,杨浦,2,凤城六村,"2,1",合租,1,2居室·南卧,2,9,2630,距地铁8号线600米,3,3,12
8,上海,杨浦,1,国康公寓,"2,2",合租,1,4居室·南卧,4,15,2800,距地铁10号线800米,2,4,12
9,上海,杨浦,1,国康公寓,"2,2",合租,1,4居室·南卧,4,15,2800,距地铁10号线800米,2,4,12
10,上海,杨浦,1,国康公寓,"2,2",合租,1,4居室·北卧,4,15,2600,距地铁10号线800米,2,3,9
11,上海,杨浦,1,国康公寓,"2,2",合租,1,4居室·北卧,4,15,2600,距地铁10号线800米,2,3,9
12,上海,杨浦,1,铁岭路110弄,"2,3",整租,0,2室1厅,2,51,6000,距地铁10号线600米,3,3,9
13,上海,杨浦,3,益华小区,"2,4",合租,1,3居室·南卧,3,11,2930,距地铁10号线500米,3,3,9
14,上海,杨浦,3,益华小区,"2,4",合租,1,3居室·南卧,3,11,2930,距地铁10号线500米,3,3,9
15,上海,杨浦,3,益华小区,"2,4",合租,1,3居室·北卧,3,11,2700,距地铁10号线500米,3,4,8
16,上海,杨浦,4,合生江湾国际公寓,"3,1",整租,0,2室1厅,2,105,8000,距公家站100米,0,4,8
17,上海,杨浦,4,新江湾时代花园,"3,2",合租,1,3居室·南卧（剩2间发到平台）,3,16,2600,距公家站200米,0,4,8
18,上海,杨浦,4,新江湾时代花园,"3,2",合租,1,3居室·南卧（剩2间发到平台）,3,16,2600,距公家站200米,0,4,8
19,上海,杨浦,5,延吉七村,"3,3",合租,1,3居室·北卧（只剩这1间）,3,7,2160,距地铁8号线700米,3,7,11
20,上海,杨浦,5,控江6村,"3,3",合租,1,2居室·南卧（只剩这1间）,2,10,2560,距地铁8号线700米,3,7,11
21,上海,杨浦,5,福阳大厦,"3,4",合租,1,3居室·西卧（只剩这1间）,3,8,2300,距地铁8号线1200米,1,6,10
22,上海,杨浦,5,文化佳园,"4,1",合租,1,3居室·北卧（只剩这1间）,3,8,2430,距地铁8号线1300米,1,6,10
23,上海,杨浦,6,馨运公寓,"4,2",整租,0,2室2厅,2,70,7500,距地铁12号线400米,4,2,10
24,上海,杨浦,6,永安小区,"4,3",整租,0,1室1厅,1,34,3900,距地铁12号线800米,2,2,10
